indekss,iela,ielas numurs,novads,pilsēta,pagasts,ciems
LV-1001,Krišjāņa Barona iela,110,,Rīga,,
LV-1001,Krišjāņa Barona iela,112,,Rīga,,
LV-1001,Krišjāņa Barona iela,114,,Rīga,,
LV-1001,Lielgabalu iela,2,,Rīga,,
LV-1001,Lielgabalu iela,4,,Rīga,,
LV-1001,Maiznīcas iela,3,,Rīga,,
LV-1001,Maiznīcas iela,4,,Rīga,,
LV-1001,Maiznīcas iela,5,,Rīga,,
LV-1001,Maiznīcas iela,6,,Rīga,,
LV-1001,Maiznīcas iela,8,,Rīga,,
LV-1001,Maiznīcas iela,10,,Rīga,,
LV-1001,Maiznīcas iela,12,,Rīga,,
LV-1001,Matīsa iela,8,,Rīga,,
LV-1001,Matīsa iela,9,,Rīga,,
LV-1001,Matīsa iela,9A,,Rīga,,
LV-1001,Matīsa iela,11,,Rīga,,
LV-1001,Matīsa iela,13,,Rīga,,
LV-1001,Matīsa iela,14,,Rīga,,
LV-1001,Matīsa iela,15,,Rīga,,
LV-1001,Matīsa iela,16,,Rīga,,
LV-1001,Matīsa iela,17,,Rīga,,
LV-1001,Matīsa iela,17 k-1,,Rīga,,
LV-1001,Matīsa iela,18,,Rīga,,
LV-1001,Matīsa iela,19,,Rīga,,
LV-1001,Matīsa iela,20,,Rīga,,
LV-1001,Matīsa iela,21,,Rīga,,
LV-1001,Matīsa iela,22,,Rīga,,
LV-1001,Matīsa iela,23,,Rīga,,
LV-1001,Matīsa iela,24,,Rīga,,
LV-1001,Matīsa iela,25,,Rīga,,
LV-1001,Matīsa iela,26,,Rīga,,
LV-1001,Matīsa iela,27,,Rīga,,
LV-1001,Matīsa iela,28,,Rīga,,
LV-1001,Matīsa iela,28A,,Rīga,,
LV-1001,Matīsa iela,28B,,Rīga,,
LV-1001,Matīsa iela,29,,Rīga,,
LV-1001,Matīsa iela,30,,Rīga,,
LV-1001,Matīsa iela,31,,Rīga,,
LV-1001,Matīsa iela,32,,Rīga,,
LV-1001,Matīsa iela,33,,Rīga,,
LV-1001,Matīsa iela,35,,Rīga,,
LV-1001,Miera iela,2,,Rīga,,
LV-1001,Miera iela,4,,Rīga,,
LV-1001,Miera iela,5,,Rīga,,
LV-1001,Miera iela,6,,Rīga,,
LV-1001,Miera iela,7,,Rīga,,
LV-1001,Miera iela,8,,Rīga,,
LV-1001,Miera iela,9,,Rīga,,
LV-1001,Miera iela,10,,Rīga,,
LV-1001,Miera iela,11,,Rīga,,
LV-1001,Miera iela,11 k-2,,Rīga,,
LV-1001,Miera iela,12,,Rīga,,
LV-1001,Miera iela,13,,Rīga,,
LV-1001,Miera iela,14,,Rīga,,
LV-1001,Miera iela,15,,Rīga,,
LV-1001,Miera iela,15 k-1,,Rīga,,
LV-1001,Miera iela,15 k-2,,Rīga,,
LV-1001,Miera iela,16,,Rīga,,
LV-1001,Miera iela,17,,Rīga,,
LV-1001,Miera iela,18,,Rīga,,
LV-1001,Miera iela,19,,Rīga,,
LV-1001,Miera iela,21,,Rīga,,
LV-1001,Miera iela,22,,Rīga,,
LV-1001,Miera iela,25,,Rīga,,
LV-1001,Miera iela,27,,Rīga,,
LV-1001,Miera iela,28,,Rīga,,
LV-1001,Miera iela,29,,Rīga,,
LV-1001,Miera iela,29/31,,Rīga,,
LV-1001,Miera iela,32,,Rīga,,
LV-1001,Miera iela,32A,,Rīga,,
LV-1001,Miera iela,32B,,Rīga,,
LV-1001,Miera iela,33,,Rīga,,
LV-1001,Miera iela,36,,Rīga,,
LV-1001,Miera iela,36A,,Rīga,,
LV-1001,Miera iela,38,,Rīga,,
LV-1001,Miera iela,39,,Rīga,,
LV-1001,Miera iela,40,,Rīga,,
LV-1001,Miera iela,41,,Rīga,,
LV-1001,Miera iela,42,,Rīga,,
LV-1001,Miera iela,43,,Rīga,,
LV-1001,Miera iela,46A,,Rīga,,
LV-1001,Palīdzības iela,1,,Rīga,,
LV-1001,Palīdzības iela,2,,Rīga,,
LV-1001,Palīdzības iela,6,,Rīga,,
LV-1001,Palīdzības iela,6A,,Rīga,,
LV-1001,Palīdzības iela,9/11,,Rīga,,
LV-1001,Palīdzības iela,12,,Rīga,,
LV-1001,Palīdzības iela,13,,Rīga,,
LV-1001,Palīdzības iela,15,,Rīga,,
LV-1001,Palīdzības iela,16,,Rīga,,
LV-1001,Tallinas iela,1,,Rīga,,
LV-1001,Tallinas iela,3,,Rīga,,
LV-1001,Tallinas iela,3A,,Rīga,,
LV-1001,Tallinas iela,4,,Rīga,,
LV-1001,Tallinas iela,5/7,,Rīga,,
LV-1001,Tallinas iela,6,,Rīga,,
